2020-03-21 16:59:28.086 [main] INFO  com.quan.crud.util.ExcelTest - Starting ExcelTest on XiaoQuandeMacBook-Pro.local with PID 6778 (started by xiaoquan in /Users/xiaoquan/IdeaProjects/CrudDemo)
2020-03-21 16:59:28.089 [main] INFO  com.quan.crud.util.ExcelTest - No active profile set, falling back to default profiles: default
2020-03-21 16:59:29.575 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-03-21 16:59:29.792 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-21 16:59:31.358 [main] INFO  com.quan.crud.util.ExcelTest - Started ExcelTest in 3.77 seconds (JVM running for 4.991)
2020-03-21 16:59:31.649 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-03-21 23:15:07.888 [main] INFO  com.quan.crud.util.ExcelTest - Starting ExcelTest on XiaoQuandeMacBook-Pro.local with PID 11989 (started by xiaoquan in /Users/xiaoquan/IdeaProjects/CrudDemo)
2020-03-21 23:15:07.891 [main] INFO  com.quan.crud.util.ExcelTest - No active profile set, falling back to default profiles: default
2020-03-21 23:15:09.512 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-03-21 23:15:09.755 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-21 23:15:11.416 [main] INFO  com.quan.crud.util.ExcelTest - Started ExcelTest in 3.836 seconds (JVM running for 5.233)
2020-03-21 23:15:11.750 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-03-21 23:17:55.389 [main] INFO  com.quan.crud.util.ExcelTest - Starting ExcelTest on XiaoQuandeMacBook-Pro.local with PID 12092 (started by xiaoquan in /Users/xiaoquan/IdeaProjects/CrudDemo)
2020-03-21 23:17:55.392 [main] INFO  com.quan.crud.util.ExcelTest - No active profile set, falling back to default profiles: default
2020-03-21 23:17:56.920 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-03-21 23:17:57.139 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-21 23:17:58.645 [main] INFO  com.quan.crud.util.ExcelTest - Started ExcelTest in 3.712 seconds (JVM running for 4.826)
2020-03-21 23:17:58.954 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-03-21 23:21:50.277 [main] INFO  com.quan.crud.util.ExcelTest - Starting ExcelTest on XiaoQuandeMacBook-Pro.local with PID 12168 (started by xiaoquan in /Users/xiaoquan/IdeaProjects/CrudDemo)
2020-03-21 23:21:50.283 [main] INFO  com.quan.crud.util.ExcelTest - No active profile set, falling back to default profiles: default
2020-03-21 23:21:51.630 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-03-21 23:21:51.843 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-21 23:21:53.321 [main] INFO  com.quan.crud.util.ExcelTest - Started ExcelTest in 3.423 seconds (JVM running for 4.378)
2020-03-21 23:21:53.556 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-03-21 23:24:22.947 [main] INFO  com.quan.crud.util.ExcelTest - Starting ExcelTest on XiaoQuandeMacBook-Pro.local with PID 12225 (started by xiaoquan in /Users/xiaoquan/IdeaProjects/CrudDemo)
2020-03-21 23:24:22.950 [main] INFO  com.quan.crud.util.ExcelTest - No active profile set, falling back to default profiles: default
2020-03-21 23:24:24.254 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-03-21 23:24:24.446 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-21 23:24:25.751 [main] INFO  com.quan.crud.util.ExcelTest - Started ExcelTest in 3.166 seconds (JVM running for 4.157)
2020-03-21 23:24:25.965 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-03-21 23:25:11.987 [main] INFO  com.quan.crud.util.ExcelTest - Starting ExcelTest on XiaoQuandeMacBook-Pro.local with PID 12244 (started by xiaoquan in /Users/xiaoquan/IdeaProjects/CrudDemo)
2020-03-21 23:25:11.989 [main] INFO  com.quan.crud.util.ExcelTest - No active profile set, falling back to default profiles: default
2020-03-21 23:25:13.194 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-03-21 23:25:13.389 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-03-21 23:25:14.717 [main] INFO  com.quan.crud.util.ExcelTest - Started ExcelTest in 3.028 seconds (JVM running for 4.021)
2020-03-21 23:25:15.617 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
